hanja,kor,radical,radical_name,stroke_count,level,rep_pron,mistake
司,맡을 사,口,입 구,5,준3급,사,1
斯,이 사,斤,근/날 근,12,3급,사,1
辭,말씀 사,辛,매울 신,19,4급,사,1
削,깎을 삭,刀,칼 도,9,준3급,삭,1
殺,죽일 살|감할/빠를 쇄,殳,창 수,11,준4급,살,1
森,수풀 삼,木,나무 목,12,준3급,삼,1
尙,오히려 상,小,작을 소,8,준3급,상,1
狀,형상 상|문서 장,犬,개 견,8,준4급,상,1
詳,자세할 상,言,말씀 언,13,준3급,상,1
像,모양 상,人,사람 인,14,준3급,상,1
索,찾을 색|노 삭,糸,실 사|가는실 멱,10,준3급,색,1
塞,막힐 색|변방 새,土,흙 토,13,준3급,색,1
序,차례 서,广,집 엄,7,5급,서,1
恕,용서할 서,心,마음 심,10,준3급,서,1
徐,천천할 서,彳,조금걸을 척,10,준3급,서,1
敍,펼 서,攴,칠 복,11,3급,서,1
逝,갈 서,辵,쉬엄쉬엄갈 착,11,3급,서,1
緖,실마리 서,糸,실 사|가는실 멱,15,준3급,서,1
昔,예 석,日,날 일,8,3급,석,1
惜,아낄 석,心,마음 심,11,준3급,석,1
釋,풀 석,釆,나눌 변,20,준3급,석,1
仙,신선 선,人,사람 인,5,준5급,선,1
宣,베풀 선,宀,집 면,9,4급,선,1
旋,돌 선,方,모 방,11,준3급,선,1
選,가릴 선,辵,쉬엄쉬엄갈 착,16,5급,선,1
鮮,고울 선,魚,고기/물고기 어,17,준5급,선,1
禪,선 선,示,보일 시,17,준3급,선,1
設,베풀 설,言,말씀 언,11,준4급,설,1
說,말씀 설|달랠 세,言,말씀 언,14,준5급,설,1
涉,건널 섭,水,물 수,10,3급,섭,1
攝,다스릴/잡을 섭,手,손 수,21,3급,섭,1
省,살필 성|덜 생,目,눈 목,9,준6급,성,1
盛,성할 성,皿,그릇 명,12,준4급,성,1
誠,정성 성,言,말씀 언,14,준4급,성,1
世,인간 세,一,한 일,5,준7급,세,1
稅,세금 세,禾,벼 화,12,준4급,세,1
勢,형세 세,力,힘 력,13,준4급,세,1
昭,밝을 소,日,날 일,9,3급,소,1
素,본디/흴 소,糸,실 사|가는실 멱,10,준4급,소,1
掃,쓸 소,手,손 수,11,준4급,소,1
訴,호소할 소,言,말씀 언,12,준3급,소,1
疏,소통할 소,疋,짝 필,12,준3급,소,1
蔬,나물 소,艸,풀 초,16,3급,소,1
燒,사를 소,火,불 화,16,준3급,소,1
騷,떠들 소,馬,말 마,20,3급,소,1
蘇,되살아날 소,艸,풀 초,20,준3급,소,1
俗,풍속 속,人,사람 인,9,준4급,속,1
粟,조 속,米,쌀 미,12,3급,속,1
