hanja,kor,radical,radical_name,stroke_count,level,rep_pron
限,한할 한,阜,언덕 부,9,준4급,한
寒,찰 한,宀,집 면,12,5급,한
閑,한가할 한,門,문 문,12,4급,한
暖,따뜻할 난,日,날 일,13,준4급,한
漢,한수/한나라 한,水,물 수,14,준7급,한
韓,한국/나라 한,韋,가죽 위,17,8급,한
割,벨 할,刀,칼 도,12,준3급,할
含,머금을 함,口,입 구,7,준3급,함
咸,다 함,口,입 구,9,3급,함
陷,빠질 함,阜,언덕 부,11,준3급,함
合,합할 합,口,입 구,6,6급,합
抗,겨룰 항,手,손 수,7,4급,항
巷,거리 항,己,몸 기,9,3급,항
恒,항상 항,心,마음 심,9,준3급,항
航,배 항,舟,배 주,10,준4급,항
項,항목 항,頁,머리 혈,12,준3급,항
港,항구 항,水,물 수,12,준4급,항
亥,돼지 해,亠,돼지해머리 두,6,3급,해
海,바다 해,水,물 수,10,준7급,해
害,해할 해,宀,집 면,10,준5급,해
奚,어찌 해,大,큰 대,10,3급,해
該,갖출/마땅 해,言,말씀 언,13,3급,해
解,풀 해,角,뿔 각,13,준4급,해
核,씨 핵,木,나무 목,10,4급,핵
行,다닐 행|항렬 항,行,다닐 행|항렬 항,6,6급,행
幸,다행 행,干,방패 간,8,준6급,행
向,향할 향,口,입 구,6,6급,향
享,누릴 향,亠,돼지해머리 두,8,3급,향
香,향기 향,香,향기 향,9,준4급,향
鄕,시골 향,邑,고을 읍,13,준4급,향
響,울릴 향,音,소리 음,22,준3급,향
許,허락할 허,言,말씀 언,11,5급,허
虛,빌 허,虍,호피무늬 호,12,준4급,허
軒,집 헌,車,수레 거/차,10,3급,헌
憲,법 헌,心,마음 심,16,4급,헌
獻,드릴 헌,犬,개 견,20,준3급,헌
險,험할 험,阜,언덕 부,16,4급,험
驗,시험 험,馬,말 마,23,준4급,험
革,가죽 혁,革,가죽 혁,9,4급,혁
玄,검을 현,玄,검을 현,5,준3급,현
現,나타날 현,玉,구슬 옥,11,준6급,현
絃,줄 현,糸,실 사|가는실 멱,11,3급,현
賢,어질 현,貝,조개 패,15,준4급,현
縣,고을 현,糸,실 사|가는실 멱,16,3급,현
懸,달 현,心,마음 심,20,준3급,현
顯,나타날 현,頁,머리 혈,23,4급,현
